,Name,Price,Product Detail Link,product_id,Product Detail Link Clean,Description,Product Vars
0,BASE ANKLE SOCK 3-PACK,18.00,https://www.aritzia.com/us/en/product/base-ankle-sock-3-pack/105214.html?dwvar_105214_color=27620&dwvar_105214_size=90,1,https://www.aritzia.com/us/en/product/base-ankle-sock-3-pack/105214.html?dwvar_105214_color=27620,"Everyday cotton ankle socks, 3-pack","['27620', '1274', '1275', '31631', '31632', '19451', '11908', '4425', '31630', '31650', '31629', '2175', '29590', '27620', '19631', '30984', '30981', '30980', '30474', '25534', '30477', '27371']"
1,COZY FLEECE MEGA CARGO™ SWEATPANT,85.00,https://www.aritzia.com/us/en/product/cozy-fleece-mega-cargo%E2%84%A2-sweatpant/91985.html?dwvar_91985_color=6448&dwvar_91985_size=14&dwvar_91985_collection=regular,2,https://www.aritzia.com/us/en/product/cozy-fleece-mega-cargo%E2%84%A2-sweatpant/91985.html?dwvar_91985_color=6448,Oversized wide-leg cargo sweatpants,"['6448', '6448', '19451', '4425', '28719', '1275', '1274', '27377', '10230', '29528', '29472', '14292', '29529', '30183', '11157', '30185', '31619', '18891', '23835', '23405', '24353', '2175', '17400', '19757', '19170', '6038', '10814', '11908', '5870', '30397', '11884', '30400', '12177', '6046', '19629']"
2,COZY FLEECE PERFECT HOODIE,78.00,https://www.aritzia.com/us/en/product/cozy-fleece-perfect-hoodie/90864.html?dwvar_90864_color=6038&dwvar_90864_size=3&dwvar_90864_collection=regular,3,https://www.aritzia.com/us/en/product/cozy-fleece-perfect-hoodie/90864.html?dwvar_90864_color=6038,Fleece pullover hoodie,"['6038', '5870', '11157', '28719', '19451', '1275', '19534', '1274', '4425', '19180', '19631', '22268', '14051', '24324', '27419', '19524', '27310', '27418', '27469', '28535', '28538', '10230', '28537', '6448', '25534', '29472', '18108', '29528', '27411', '29529', '23405', '31619', '14292', '30183', '30184', '30185', '30225', '18771', '24353', '23835', '21457', '19757', '17400', '17232', '30400', '19049', '6038', '18891', '11908', '11884', '30397', '10814', '19170', '19629', '12177', '6046']"
3,COZY FLEECE MEGA SWEATPANT,75.00,https://www.aritzia.com/us/en/product/cozy-fleece-mega-sweatpant/91896.html?dwvar_91896_color=19451&dwvar_91896_size=138&dwvar_91896_collection=regular,4,https://www.aritzia.com/us/en/product/cozy-fleece-mega-sweatpant/91896.html?dwvar_91896_color=19451,High-rise oversized fleece sweatpants,"['19451', '19451', '4425', '11157', '18771', '28535', '1275', '1274', '19631', '17232', '11908', '24808', '27487', '27310', '27311', '28538', '28537', '6448', '19534', '25534', '29472', '18108', '28719', '29528', '30225', '30183', '30185', '23405', '27411', '14292', '29529', '31619', '18891', '23835', '24353', '17400', '21411', '21457', '22268', '22291', '5870', '30400', '6038', '10230', '10814', '11884', '30397', '19170', '19049', '6046', '19629', '12177']"
4,HOMESTRETCH™ CREW LONGSLEEVE,35.00,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-crew-longsleeve/102669.html?dwvar_102669_color=1275&dwvar_102669_size=134,5,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-crew-longsleeve/102669.html?dwvar_102669_color=1275,Ribbed crewneck longsleeve,"['1275', '1274', '1275', '4425', '6046', '19451', '18891', '15104', '30908', '5870', '30397', '6448', '19757', '28719', '25526', '27377', '28535', '24324']"
5,TNABUTTER™ CHEEKY HI-RISE LEGGING,68.00,https://www.aritzia.com/us/en/product/tnabutter%E2%84%A2-cheeky-hi-rise-legging/100128.html?dwvar_100128_color=30398&dwvar_100128_size=134&dwvar_100128_collection=regular,6,https://www.aritzia.com/us/en/product/tnabutter%E2%84%A2-cheeky-hi-rise-legging/100128.html?dwvar_100128_color=30398,High-waisted cheeky leggings,"['30398', '30398', '29484', '23954', '19629', '24814', '24818', '24819', '2377', '25526', '18891', '5870', '27312', '28676', '19049', '10230', '24274', '30226', '21684', '23851', '29528', '29473', '24808', '1702', '24803', '30400', '18914', '27311', '30397']"
6,CONTOUR SQUARENECK LONGSLEEVE BODYSUIT,58.00,https://www.aritzia.com/us/en/product/contour-squareneck-longsleeve-bodysuit/73936.html?dwvar_73936_color=1565&dwvar_73936_size=3&dwvar_73936_collection=regular,7,https://www.aritzia.com/us/en/product/contour-squareneck-longsleeve-bodysuit/73936.html?dwvar_73936_color=1565,Squareneck longsleeve bodysuit with thong-cut bottom,"['1565', '19049', '15016', '30251', '30176', '30175', '29516', '29514', '1275', '29511', '28455', '18914', '18891', '18872', '15104', '11884', '7275', '5391', '1565', '1274', '28714', '27312', '22419', '18906', '4322', '29515', '2198', '30751', '30908', '23827', '1686', '28537', '27311', '29484', '25167']"
7,COZY FLEECE BOYFRIEND BASIC WIDE SWEATPANT,68.00,https://www.aritzia.com/us/en/product/cozy-fleece-boyfriend-basic-wide-sweatpant/83057.html?dwvar_83057_color=11908&dwvar_83057_size=134&dwvar_83057_collection=regular,8,https://www.aritzia.com/us/en/product/cozy-fleece-boyfriend-basic-wide-sweatpant/83057.html?dwvar_83057_color=11908,Mid-rise wide-leg sweatpants,"['11908', '11908', '1275', '1274', '19451', '4425', '24324', '10230', '19534', '28719', '31619', '18771', '30185', '19524', '18891', '21457', '19049', '11884', '10814']"
8,CONTOUR TUBE TOP,38.00,https://www.aritzia.com/us/en/product/contour-tube-top/91283.html?dwvar_91283_color=1275&dwvar_91283_size=3,9,https://www.aritzia.com/us/en/product/contour-tube-top/91283.html?dwvar_91283_color=1275,Body-hugging tube top,"['1275', '1274', '1275', '28539', '29515', '28455', '7694', '2198', '29484', '28537', '1565', '23827', '18891', '18906', '28718', '15104', '5391', '18914', '27311', '30252', '15016', '18872', '29512', '29514', '1702', '30177', '30265', '16025', '21415', '30251', '23833', '23852', '30176', '15139', '23854', '27358', '1803', '27376', '30175', '23851', '28714', '19049']"
9,HOMESTRETCH™ BABY CREW WAIST T-SHIRT,25.00,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-baby-crew-waist-t-shirt/95025.html?dwvar_95025_color=4425&dwvar_95025_size=55,10,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-baby-crew-waist-t-shirt/95025.html?dwvar_95025_color=4425,Ribbed cotton crewneck t-shirt,"['4425', '1274', '4425', '1275', '19451', '6448', '10230', '29771', '12177', '19757', '19524', '5870', '11884', '26210', '26214', '24353', '28535', '26685', '28539', '27411', '29417', '24808', '27469', '26208', '29530', '25534', '26219', '26211', '26212', '26202', '30225', '26220', '21411', '19180', '27377', '19631', '24812', '26213', '27418', '27487', '24324', '28563', '18108', '25526']"
